,Alchemy of Souls,Business Proposal,Crash Landing on You,Death's Game,Descendants of the Sun,Doom at Your Service ,Itaewon Class,Flower of Evil,Goblin ,Ghost Doctor,Happiness,Lovely Runner,Marry My Husband,Moving,Shopping King Louie,Strong Woman Do Bong Soon,Tale of the Nine Tailed,The Glory,The Good Bad Mother,The Secret Garden,Time Called to You,Tomorrow,Twinkling Watermelon,Uncounting Counter,Vincenzo,Queen of Tears
policeman,,yes,,yes,yes,,yes,,,,yes,yes,,,,,,,,,,,yes,,,
procecutor,,,,,,,yes,,,,,,,,,,,,,,,,,,,
rich chaebol,,yes,,yes,yes,,yes,,,,,,,,yes,,,,,yes,,,,,,
scientist,,no,,no,,,no,,,,yes,,,,,,,,,,,,,,,
secretar,,yes,,no,,,yes,,,,,,,,yes,,,,,yes,,,,,,
serial killer,,no,,yes,,,no,,,,yes,yes,,,yes,,,,,,,,,,,
shaman,,no,,yes,,,no,,,,,yes,,,yes,,,,,,,,,,,
spirits/ghosts,,no,,yes,,,no,,,,,,,,,,,,,,,,,,,
stalker,,yes,,no,,,yes,,,,,yes,,,yes,,,,,,,,yes,,,
zombie,,no,,no,,,no,,,,yes,,,,,,,,,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
childhood psychotrauma,,yes,,yes,,,yes,,,,,yes,,,,,,,,yes,,,yes,,,
rigid hierarchy,,yes,,yes,yes,,yes,,,,yes,,,,,,,,,yes,,,yes,,,
love triangle,,yes,,no,yes,,yes,,,,,yes,,,yes,,,,,yes,,,yes,,,
respect for elders,,yes,,yes,yes,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
nicknames instead of real names,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
hidden family secret,,no,,yes,,,yes,,,,,,,,,,,,,yes,,,yes,,,
parental consent to marriage,,yes,,no,yes,,yes,,,,,yes,,,,,,,,yes,,,,,,
bromance,,yes,,no,yes,,yes,,,,,yes,,,,,,,,yes,,,yes,,,
time traveling,,no,,yes,,,no,,,,,yes,,,,,,,,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
animation,,yes,,no,yes,,yes,,,,,yes,,,yes,,,,,yes,,,yes,,,
split screen,,yes,,no,yes,,no,,,,,yes,,,yes,,,,,yes,,,,,,
flash back,,yes,,yes,yes,,yes,,,,yes,yes,,,,,,,,,,,,,,
toilet humor,,yes,,no,,,no,,,,,yes,,,yes,,,,,yes,,,yes,,,
eye-catching product placement,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,,,,yes,,,
time disorder,,yes,,no,,,yes,,,,yes,yes,,,,,,,,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese characters/hieroglyphs for name ,,yes,,no,,,yes,,,,,,,,,,,,,,,,,,,
be pathetic,,yes,,yes,,,yes,,,,,,,,,,,,,yes,,,,,,
aigoo,,yes,,yes,,,no,,,,,,,,yes,,,,,,,,yes,,,
infuriates ,,yes,,yes,,,yes,,,,,,,,yes,,,,,yes,,,yes,,,
faiting,,yes,,yes,,,no,,,,,,,,,,,,,,,,yes,,,
That's ok ,,yes,,yes,yes,,yes,,,,yes,yes,,,,,,,,,,,yes,,,
,,,,,,,,,,,,,,,yes,,,,,,,,,,,
